Site_YR,hostcode,site,state,species,sex,svl,stage,P-ACSP,P-CLSP,P-MEMO,P-NEMA,P-COVA,P-RHAB,P-RION,P-BASP,P-TIAU,P-EITA,P-NYCO,P-OPRA,BD_POZ,RV_POZ,ttx_cm2
BNPND020_2015,BNPND020_20150602_TATO_005,BNPND020,CA,TATO,Male,60.47,Adult,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1300.7222
BNPND020_2015,BNPND020_20150602_TATO_006,BNPND020,CA,TATO,Female,62.49,Adult,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2990.2395
CA-BN003_2015,CA-BN003_20150603_TAGR_005,CA-BN003,CA,TAGR,Male,69.15,Adult,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12740.0081
CA-BN003_2015,CA-BN003_20150603_TAGR_007,CA-BN003,CA,TAGR,Male,79.13,Adult,0,0,0,0,12,3,0,0,0,0,0,0,0,0,12558.018
CA-BN003_2015,CA-BN003_20150603_TATO_002,CA-BN003,CA,TATO,Male,69.95,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7383.1282
CA-BN003_2015,CA-BN003_20150603_TATO_008,CA-BN003,CA,TATO,Female,59.62,Adult,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11264.1618
CA-BN004_2015,CA-BN004_20150526_TAGR_001,CA-BN004,CA,TAGR,Male,78.68,Adult,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3604.0256
CA-BN004_2015,CA-BN004_20150526_TAGR_002,CA-BN004,CA,TAGR,Female,63.3,Adult,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1064.2228
CA-BN004_2015,CA-BN004_20150526_TAGR_004,CA-BN004,CA,TAGR,Male,76.65,Adult,0,3,26,0,0,0,0,0,0,0,0,0,0,0,2599.0574
CA-BN004_2015,CA-BN004_20150526_TAGR_010,CA-BN004,CA,TAGR,Female,70.23,Adult,0,4,0,1,1,0,0,0,0,0,0,0,0,0,3184.95
CA-BN004_2015,CA-BN004_20150603_TAGR_001,CA-BN004,CA,TAGR,Female,64.29,Adult,0,0,0,0,0,0,0,1,0,0,0,0,,0,4975.4702
CA-BN004_2015,CA-BN004_20150603_TAGR_002,CA-BN004,CA,TAGR,Female,68.91,Adult,0,1,0,0,0,0,0,0,0,0,0,0,,0,3582.3383
CA-BN004_2015,CA-BN004_20150603_TAGR_003,CA-BN004,CA,TAGR,Male,76.73,Adult,0,1,0,0,0,0,0,1,0,0,0,0,,0,14583.8868
